Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000263,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-28,Operating manual,operating manual,"A document or a set of documents outlining the premise and intent for decisions that are to be followed regarding the operation of the water mist system, including but not limited to instructions, procedures, drawings, tables, etc. for the operation -stop","This may be one document , or a set of documents and may be combined in one overall document known as the DIOM (design, installation, operation and maintenance) manual. May also be known as the Technical File or Technical Manual. May be supplied in both P",equipment,technical information deliverables,"10.2, 12.5.2.3, 12.5.2.4.1, 12.5.2.4.2, 13.4.1, 13.4.2, 13.4.3.1, 13.4.3.3, 16.1.9.3.2, 16.1.9.3.3, 16.3.4, 16.3.5.1 , 16.3.5.3, 16.3.5.4.1, 16.3.5.7.1, 16.3.8, 16.4, 17.1.4.2, 17.1.4.3, 17.1.7.1, 17.1.7.2, 17.1.7.3, 17.1.7.4, 17.16, 17.18, 17.2.2, 17.2.3",,,CFIHOS-70000228,operating manual,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000264,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-29,Design manual,design philosophy,A document or a set of documents outlining the premise and intent for decisions that are to be followed regarding a design. These shall provide information to allow the user or a third party to verify that the system has been designed properly.,"This may be one document , or a set of documents and may be combined in one overall document known as the DIOM (design, installation, operation and maintenance) manual. May also be known as the Technical File or Technical Manual. May be supplied in both P",equipment,technical information deliverables,"10.1.2.1, 10.1.2.1.1, 10.1.2.2.1, 10.1.2.3, 10.1.2.4, 10.2, 10.3.1.9.1, 10.3.1.9.2, 10.3.2.3, 10.3.2.5.6, 10.3.2.8.1.4, 12.3.1, 12.3.2, 12.5.1.2, 12.5.1.4.1, 12.5.1.4.2, 12.5.1.6, 12.5.1.7, 12.5.2.1, 12.5.2.2, 12.5.2.3, 12.5.2.4.1, 12.5.2.4.2, 12.5.3.1, 1",,,CFIHOS-70000091,design philosophy,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000265,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-3,Progress report,progress report,"Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,equipment,contract management information deliverables,,,,CFIHOS-70000300,progress report,no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000266,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-30,Hydraulic calculation,hydraulic calculation,"Hydraulic calculations to indicate basis on which equipment is sized, including pipe friction losses/pressure drop, equipment elevations and terminal point static pressures. May also includes calculation for discharge duration and activation times.","This may be one document , or a set of documents and may be combined in one overall document known as the DIOM (design, installation, operation and maintenance) manual. May also be known as the Technical File.",equipment,technical information deliverables,"NFPA750 : 10.1.2.1, 11.1.1, 11.1.2, 11.1.3, 11.1.4, 11.1.5, 11.2.1, 11.2.2, 11.2.3, 11.2.4, 11.3.1, 11.3.2, 11.3.3, 11.3.4, 11.3.5.1, 11.3.5.2, 11.3.6.1, 11.3.6.2, 11.3.6.3, 11.3.6.4.1, 11.3.6.4.2, 11.3.6.5, 11.4.1.1, 11.4.1.2, 11.4.1.3, 11.4.1.3.1, 11.4.",,,CFIHOS-70000169,hydraulic calculation,yes,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000267,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-32,Vendor technical data,manufacturer datasheet,"Document providing information on technical data and characteristics about the primary components of the water mist system. This document provides structured data form containing tag number, suppliers part number/model, design information,operational dat",Most likely supplied in PDF and hardcopy,equipment,technical information deliverables,"12.5.1.2, 12.5.4.5, 17.10, 17.12, 17.13, 17.14, 17.16, 17.18, 6.7.2, 8.5.5.1, 8.8.5.2",,,CFIHOS-70000416,manufacturer datasheet,yes,yes,yes,,,,,,WAO,AFC,no,PDF
CFIHOS-68000268,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-33,Electrical wiring diagram,wiring diagram,Description:Diagram providing information on the circuitry of an object.Mandatory content of information:- Graphical symbols representing the objects;- Graphical symbols representing the connections among objects;- Reference designations;- Terminal,,equipment,technical information deliverables,"12.6.2.2, 12.6.3, 12.6.8.2, 13.4.1, 13.4.2, 14.2.4.2.1, 14.2.4.2.10, 14.2.4.2.11, 14.2.4.2.12, 14.2.4.2.13, 14.2.4.2.2, 14.2.4.2.5, 14.2.4.2.8.1 , 14.2.4.2.8.2, 14.2.4.2.8.3, 14.2.5.2.2, 14.2.5.3, 14.2.5.4, 14.2.5.5, 14.2.5.6, 14.2.5.7, 16.1.7.3, 16.1.7.4",,,CFIHOS-70000268,wiring diagram,no,no,no,,,,,,,AFC,no,PDF
CFIHOS-68000269,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-34,Piping and instrumentation diagram,piping and instrumentation diagram,"Description:The piping and instrument diagram (P&ID), based on the process flow diagram, represents the technical realization of a process by means of graphical symbols for equipment and piping together with graphical symbols or process measurement and c",,equipment,technical information deliverables,"IEC 61355, D00043 : 12.5.1.2, 12.5.2.3, 12.5.4.5, 12.5.5.1, 12.5.5.2, 12.6.2.1, 12.6.2.2, 12.6.6, 12.7, 13.1.3, 13.1.4, 13.1.5, 13.1.6, 13.4.1, 13.4.2, 16.1.10, 16.1.11, 16.1.12.2, 16.1.12.3, 16.1.12.4.1, 16.1.13.2, 16.1.7.4, 16.1.9.1, 16.1.9.2, 16.1.9.3.",,,CFIHOS-70000292,piping and instrumentation diagram,no,no,no,,,,,,,AFC,no,PDF
CFIHOS-68000270,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-35,Factory acceptance test (FAT) procedure,factory acceptance test (fat) procedure,"The FAT procedure will be used to ensure a common understanding of performed testing and acceptance criteria. This document shall include all testing activities and their acceptance criteria according to applicable standards, specifications and requiremen","The water mist manufacturer will have their own FAT requirements, these requirements can be increased or decreased in collaboration between, the supplier and the customer, and where applicable the AHJ.",equipment,technical information deliverables,"12.4.5, 12.5.2.4.1, 12.5.2.4.2, 17.1.4.4, 17.17, 17.18, 6.2.2.6.1, 6.2.2.6.2, 6.2.2.7, 6.2.2.8.1, 6.2.2.8.2, 6.2.3, 6.9.1.6, 8.5.5.1, 8.5.5.4.2, 8.5.6.4, 8.5.6.6.1, 8.5.6.6.2, 8.5.6.7, 8.6.2, 8.8.1.7.1, 8.8.3.1.7, 8.8.3.2.5, 8.8.3.2.7",,,CFIHOS-70000427,factory acceptance test procedure,no,no,yes,,WAO,,WAO,,,AFD,no,PDF
CFIHOS-68000271,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-36,Lifting point calculations,lifting point calculations,"Document should provide information about soundness of lifting point and its welding/bolting to prove the safety factor requested.Indicate the equations, constants and units used.",,equipment,technical information deliverables,17.7.9,,,CFIHOS-70000432,lifting certificate,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000272,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-37,Spare part list,spare part list,"Table containing list items specifying the objects (parts, components, equipment, etc.) that are available or delivered as spare parts for later use. Mandatory content of information:- Item reference number;- Quantity;- Part number or global identifier",,equipment,technical information deliverables,"12.4.1, 12.4.2, 17.18, 6.4.1.2.2, 6.6.7.3, 6.8.8.1, 6.8.8.2",,,CFIHOS-70000374,spare part list,no,no,yes,,WAT,,WAT,,,AFD,no,PDF
CFIHOS-68000273,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-38,Production test certificate - nozzle,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates]. May be combined with nozzle test procedure.",Test procedure and certificate may be in one combined document.,equipment,technical information deliverables,"13.4.6, 17.1.4.4, 17.19.1, 17.19.2, 17.19.3",,,CFIHOS-70000239,general certificate,,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000274,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-39,Production test certificate - flexible hose,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates]. May be combined with flexible hose test procedure.",,equipment,technical information deliverables,"Test procedure and certificate may be in one combined document. : 13.4.6, 17.1.4.4, 17.19.1, 17.19.2, 17.19.3, 6.3.4.4",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000275,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-4,Quality plan,quality plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the [vendor], and when applicable [sub-vendors] or [manufacturers], to deliver the services or procured item(s) in conformance with the agreed requirements. ISO 9001",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000451,quality plan,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000276,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-40,Production test certificate - section valve,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates]. May be combined with section valve test procedure.",Test procedure and certificate may be in one combined document.,equipment,technical information deliverables,"13.4.6, 17.1.4.4, 17.19.1, 17.19.2, 17.19.3",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000277,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-42,Production test certificate - manifold,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates]. May be combined with manifold test procedure.",Test procedure and certificate may be in one combined document.,equipment,technical information deliverables,"17.1.4.4, 17.19.1, 17.19.2, 17.19.3",,,CFIHOS-70000239,general certificate,no,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000278,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-43,Special tools list,special tools list,"The Special Tools List shall identify all special tools necessary for handling, dismantling, maintenance etc. of equipment.Shall be part of the Spare part list Special Tools List shall include:• Identification - the tag number the special tool shall su",,equipment,technical information deliverables,17.18,,,CFIHOS-70000454,special tools list,no,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000279,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-44,Production test procedure - section valve,manufacturing qualification procedure,Definition of process followed to qualify a manufacturing and/or production processes including associated acceptance criteria and test methods to validate achievement of specified technical requirements.,,equipment,technical information deliverables,17.1.4.4,,,CFIHOS-70000332,test procedure,no,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000280,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-45,Production test procedure - flexible hose,manufacturing qualification procedure,Definition of process followed to qualify a manufacturing and/or production processes including associated acceptance criteria and test methods to validate achievement of specified technical requirements.,,equipment,technical information deliverables,"17.1.4.4, 6.3.4.4",,,CFIHOS-70000332,test procedure,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000281,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-46,Production test procedure - nozzle,manufacturing qualification procedure,Definition of process followed to qualify a manufacturing and/or production processes including associated acceptance criteria and test methods to validate achievement of specified technical requirements.,,equipment,technical information deliverables,17.1.4.4,,,CFIHOS-70000332,test procedure,no,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000282,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-47,Production test procedure - manifold,manufacturing qualification procedure,Definition of process followed to qualify a manufacturing and/or production processes including associated acceptance criteria and test methods to validate achievement of specified technical requirements.,,equipment,technical information deliverables,17.1.4.4,,,CFIHOS-70000332,test procedure,no,yes,yes,,,,,,WPTD,AFD,no,PDF
CFIHOS-68000283,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-49,Commissioning / SAT records,completion certificate,"Records demonstrating results of site tests including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IEDs.",,equipment,technical information deliverables,"13.4.6, 17.19.1, 17.19.2, 17.19.3, 6.10.1.2, 6.10.2.2, 6.10.2.3, 6.10.3.4, 6.10.3.6.1, 6.10.4.3.1, 6.10.4.3.2, 6.3.2.1, 6.3.2.2, 6.3.5.1, 6.3.5.3, 6.4.1.1, 6.4.1.2.1, 6.6.3, 6.6.6.2, 6.6.7.1, 6.6.7.2, 6.7.1.1, 6.7.1.2, 6.7.3.1, 6.7.3.2, 6.9.1.4, 6.9.2.2,",,,CFIHOS-70000414,completion certificate,no,no,yes,,WAT,,WAT,,,AFC,no,PDF
CFIHOS-68000284,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-5,Sub-vendor delivery schedule,sub-supplier list,"Definition of processes, products or services that will be externally provided and the controls to be applied by the [vendor] to ensure conformance with agreed requirements. The schedule includes evidence of the basis of capability assessment , quality ma",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000455,sub-supplier list,yes,no,no,,,,,,,AFD,no,native
CFIHOS-68000285,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-50,Pneumatic test procedure,pressure test procedure,"A procedure documenting specific steps to conduct inspection of an asset/object. Typically details boundaries of the test, isolations, method of pressurization, required hold intervals etc.",,equipment,technical information deliverables,"14.2.3 : 14.2.3.1, 14.2.3.2",,,CFIHOS-70000286,pressure test procedure,no,no,yes,,WAT,,WAT,,,AFD,no,PDF
CFIHOS-68000286,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-51,Hydrostatic test procedure,pressure test procedure,"A procedure documenting specific steps to conduct inspection of an asset/object. Typically details boundaries of the test, isolations, method of pressurization, required hold intervals etc.",,equipment,technical information deliverables,"14.2.2 : 14.2.1.1.1, 14.2.1.1.2, 14.2.1.1.3, 14.2.1.2.1, 14.2.1.2.2, 14.2.1.2.3, 14.2.2.1.1, 14.2.2.1.2, 14.2.2.1.3, 14.2.2.1.4.1, 14.2.2.1.4.2, 14.2.2.2.1 , 14.2.2.2.2, 14.2.2.2.3, 14.2.2.2.4, 14.2.2.3.1, 14.2.2.3.2",,,CFIHOS-70000286,pressure test procedure,no,no,yes,,WAT,,WAT,,,AFC,no,PDF
CFIHOS-68000287,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-52,Pneumatic test records,pressure test report,Records demonstrating results of pneumatic test on site of nozzles/ distribution pipework.,,equipment,technical information deliverables,"14.2.3 : 13.4.6, 17.19.1, 17.19.2, 17.19.3, 6.4.3.1",,,CFIHOS-70000287,pressure test report,no,yes,yes,,,,,,WAT,AFD,no,PDF
