CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-30000914,road sweeper,A machine that cleans the road,tag or equipment class
CFIHOS-30000915,rotary table,A 'well drilling system' and an 'artefact' in which the torque is transferred to the drill string using rotary table and kelly.,tag or equipment class
CFIHOS-30000916,safety display plan,An information object that indicates the location of safety signs and other relevant safety information.,tag or equipment class
CFIHOS-30000917,safety sign,An information object with a symbol representing some hazard or safety information.,tag or equipment class
CFIHOS-30000918,sample connection point,A connection point intended for collection of samples,tag or equipment class
CFIHOS-30000919,slips,A physical object that consists of wedge-shaped pieces of metal loosely joined together and fitted into a bushing to support a string of pipe. The slips have gripping elements to prevent the pipe from slipping down the drilling hole.,tag or equipment class
CFIHOS-30000920,storm water drain,Pipework/channel/scupper designed to flow storm water (i.e. arising from atmospheric precipitation) from source areas on site to a discharge or outflow point (excludes drainage from bunded area),tag or equipment class
CFIHOS-30000921,stretcher,"An artefact which is a framework of poles, canvas, etc. for carrying a sick, injured or wounded person.",tag or equipment class
CFIHOS-30000922,strobe light,A 'luminaire' used to produce regular flashes of light.,tag or equipment class
CFIHOS-30000923,subsea cable,An electric cable intended for underwater installation,tag or equipment class
CFIHOS-30000924,subsea configuration plate,"Also known as a logic plate, is a hydraulic stab plate where spare lines are routed to along with the production lines of the distribution system to provide reconfiguration contingency at strategic locations.",tag or equipment class
CFIHOS-30000925,system panel,An instrument panel dedicated to a particular system.,tag or equipment class
CFIHOS-30000926,thyristor control panel,A 'control panel' that contains devices required for the operation of 'thyristors',tag or equipment class
CFIHOS-30000927,top drive,A top drive is a mechanical device on a drilling rig that provides clockwise torque to the drill string to facilitate the process of drilling a borehole.,tag or equipment class
CFIHOS-30000928,top drive drilling system,A well drilling system and an artefact in which the motor which turns the drill string is connected to the upper end of the string and moves downwardly with the drill string during the drilling operation.,tag or equipment class
CFIHOS-30000929,tractor,"A machine designed to deliver a high tractive effort (or torque) at slow speeds, for the purposes of hauling a trailer or machinery",tag or equipment class
CFIHOS-30000930,turret,Equipment installed subsea related to a ships turret system,tag or equipment class
CFIHOS-30000931,twin agent skid,A skid assembly that supports a Twin Agent Fire Extinguishing System (TAFES).,tag or equipment class
CFIHOS-30000932,vent head,"A breather that discharges gas to the atmosphere at low velocity, and that is intended for vertical connection to a vent pipe",tag or equipment class
CFIHOS-30000933,ventilator,"A ventilator is a machine designed to mechanically move breathable air into and out of the lungs, to provide the mechanism of breathing for a patient who is physically unable to breathe, or breathing insufficiently.",tag or equipment class
CFIHOS-30000934,water mist skid,A skid assembly containing the units required to operate a water mist system.,tag or equipment class
CFIHOS-30000935,window,A device which is an opening especially in the wall of a building for admission of light and air that is usually closed by casements or sashes containing transparent material (as glass),tag or equipment class
CFIHOS-30000936,bridge bearing,A device to permit relative movement between a bridge and its support generally requiring periodic inspection and maintenance,tag or equipment class
CFIHOS-30000937,cable tray,A unit or assembly of units or sections and associated fittings forming a rigid structural system used to securely fasten or support cables and raceways.,tag or equipment class
CFIHOS-30000938,casing,An enclosure that can maintain a pressure difference.,tag or equipment class
CFIHOS-30000939,container,A physical object intended to contain something.,tag or equipment class
CFIHOS-30000940,crusher,A mill that uses pressure or impact to reduce the particle size of solid materials.,tag or equipment class
CFIHOS-30000942,hydraulic power unit,A unit minimum consisting of a engine driven hydraulic pump and a reservoir which is delivering hydraulic energy to one or more consumers,tag or equipment class
CFIHOS-30000943,interface card,"A distribution board (network card) that is intended for communication between systems, to part of a system or to a computer network.",tag or equipment class
CFIHOS-30000944,lightning arrestor,A lightning arrestor is a device used on electric power systems and telecommunication systems to protect the insulation and conductors of the system from the damaging effects of lightning.,tag or equipment class
CFIHOS-30000945,meteorological sensor,An 'equipment class' that is a class of devices engaged in meteorological observations,tag or equipment class
CFIHOS-30000946,pipe reducer,"An 'artefact' that has different nominal pipe size at the two ends, intended to connect pipes or piping components.",tag or equipment class
CFIHOS-30000947,piping speciality item,Piping speciality item is an inline piping component that is not pre-defined within the existing piping specification,tag or equipment class
