CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-10000284,,attribute:,process case,application condition group code,,A code that uniquely identifies a group of application conditions.,,Example : 1,Optional,"Text, max 40 characters",application condition group,,,describes the conditions of
CFIHOS-10000349,,attribute:,process case,process case description,,The description of the process case being analysed.,,Example : Normal operations,Optional,"Text, max 2000 characters",,,,
CFIHOS-10000348,,attribute:,process case,process case number,,The unique identifier of a process case,,Example : 123,Identifier,"Text, max 40 characters",,,,
CFIHOS-00000130,A.5.42,entity:,process activity in case,,,A process activity included in the scope of a case,,,,,,EPC,,
CFIHOS-10000322,,attribute:,process activity in case,process activity code,,The unique identifier of the process / activity,,Example : PROC_07,Identifier,"Text, max 40 characters",process activity,,,is included in
CFIHOS-10000348,,attribute:,process activity in case,process case number,,The unique identifier of the process case,,Example : 123,Identifier,"Text, max 40 characters",process case,,,includes
CFIHOS-00000131,A.5.43,entity:,process property in case,,,"A property of a process activity, in the context of a case",,,,,,EPC,,
CFIHOS-10000322,,attribute:,process property in case,process activity code,,The unique identifier of the process / activity,,Example : PROC_07,Identifier,"Text, max 40 characters",process activity in case,,,evaluates
CFIHOS-10000348,,attribute:,process property in case,process case number,,The unique identifier of the process case,,Example : 123,Identifier,"Text, max 40 characters",process activity in case,,,evaluates
CFIHOS-10000351,,attribute:,process property in case,process property value in case,,The value that a property has taken in the process case,,Example : 23.5,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,process property in case,property name,,The name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is estimated in
CFIHOS-10000238,,attribute:,process property in case,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000128,A.5.44,entity:,process stream in case,,,A process stream included in the scope of a case,,,,,,EPC,,
CFIHOS-10000348,,attribute:,process stream in case,process case number,,The unique identifier of the process case,,Example : 123,Identifier,"Text, max 40 characters",process case,,,includes
CFIHOS-10000328,,attribute:,process stream in case,process stream code,,The unique identifier of the process stream,,Example : MS_07,Identifier,"Text, max 40 characters",process stream,,,is included in
CFIHOS-00000129,A.5.45,entity:,process stream property in case,,,"A process stream property, in the context of a case",,,,,,EPC,,
CFIHOS-10000348,,attribute:,process stream property in case,process case number,,The unique identifier of the process case,,Example : 123,Identifier,"Text, max 40 characters",process stream in case,,,evaluates
CFIHOS-10000328,,attribute:,process stream property in case,process stream code,,The unique identifier of the process stream,,Example : MS_07,Identifier,"Text, max 40 characters",process stream in case,,,evaluates
CFIHOS-10000350,,attribute:,process stream property in case,process stream property value in case,,The value that the property has taken in the process stream case,,Example : 23.5,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,process stream property in case,property name,,The name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is estimated in
CFIHOS-10000238,,attribute:,process stream property in case,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000160,A.5.46,entity:,unit of measure dimension application,,,Indicates which unit of measure dimension codes are relevant for a unit of measure.,,,,,,RDL,,
CFIHOS-10000146,,attribute:,unit of measure dimension application,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the unit of measure dimension application.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000234,,attribute:,unit of measure dimension application,unit of measure dimension code,,A code that uniquely identifies the unit of measure dimension,,Example : Volume,Identifier,"Text, max 6 characters",unit of measure dimension,,,dimension is used for multiple units of measurement
CFIHOS-10000238,,attribute:,unit of measure dimension application,unit of measure name,,A code that uniquely identifies the unit of measure dimension,,Example : metre,Identifier,"Text, max 90 characters",unit of measure,,,has multiple dimension code in
CFIHOS-00000161,A.5.47,entity:,property picklist value source standard,,,Indicates where the standard that specifies the need for the Property Picklist Value.,,,,,,RDL,,
CFIHOS-10000059,,attribute:,property picklist value source standard,property picklist name,,The name by which the pick list is designated,,Example : air cooler type,Identifier,"Text, max 100 characters",property picklist value,,,is engineered by
CFIHOS-10000060,,attribute:,property picklist value source standard,property picklist value code,,A code that uniquely identifies an entry in a pick list,,Example : Liquid,Identifier,"Text, max 100 characters",property picklist value,,,is engineered by
CFIHOS-10000053,,attribute:,property picklist value source standard,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",source standard,,,engineers
CFIHOS-00000021,A.6.01,entity:,discipline,,,A branch of knowledge of expertise which is responsible for the content of the deliverable,,,,,,RDL,,
CFIHOS-10000146,,attribute:,discipline,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the discipline",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000153,,attribute:,discipline,discipline code,,A code that uniquely identifies a discipline.,The discipline / document type documented from the RDL could be overwritten by the Owner / Operator.,Example : MP,Identifier,"Text, max 2 characters",,,,
CFIHOS-10000208,,attribute:,discipline,discipline description,,A description of what the discipline covers,,Example : Health is the discipline concerned with protecting the health and welfare of people engaged in work or employment.,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000075,,attribute:,discipline,discipline name,,The name by which the discipline is designated,,Example : Piping,Mandatory,"Text, max 50 characters",,,,
CFIHOS-00000032,A.6.02,entity:,document type,,,A classification of documents,,,,,,RDL,,
CFIHOS-10000146,,attribute:,document type,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the document type",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000210,,attribute:,document type,document type classification code,document type classification,The classification to which the document type belongs,,Example : CONT,Mandatory,"Text, max 40 characters",document type classification,,,classifies
