discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20001444,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,MH2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001445,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,MR2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001446,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,MS2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001447,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,MX2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001448,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,UA2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001449,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,CS2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001450,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,TA2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001451,CFIHOS-20000025,OA,operations management,CFIHOS-70000231,3352,organizational chart,"A diagram represents an organisation of people, indicating roles and reporting lines in a tree-like structure. May include the names of individuals.",OA3352,Plant,not specified,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001452,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,TA1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001453,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,MS1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001454,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,CS1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001455,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,HX1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001456,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,MR1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001457,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,IN1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001458,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,CX1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001459,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000086,1206,design calculation,A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.,EA1206,Tag,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001460,CFIHOS-20000010,HE,environmental,CFIHOS-70000238,1380,general calculation,"A document showing inputs, formulas, rationale, and conclusions/mathematical results as required to enhance design or bound activities.",HE1380,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001461,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000238,1380,general calculation,"A document showing inputs, formulas, rationale, and conclusions/mathematical results as required to enhance design or bound activities.",HX1380,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001462,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000243,3180,general estimate,"A judgement based calculation showing a summation of cost/schedule taking into consider probabilities to develop a projected performance and should document rationale, approach, inputs, etc.",FA3180,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001463,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000013,1401,approval certificate,A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE mark certification or similar equivalent shall be included under this document type.,IN1401,Model_Part,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001464,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000013,1401,approval certificate,A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE mark certification or similar equivalent shall be included under this document type.,EA1401,Model_Part,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001465,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000013,1401,approval certificate,A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE mark certification or similar equivalent shall be included under this document type.,MX1401,Model_Part,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001466,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000013,1401,approval certificate,A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE mark certification or similar equivalent shall be included under this document type.,CB1401,Model_Part,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001467,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000239,1580,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates].Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.",CB1580,Equipment,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001468,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000239,1580,general certificate,"A document certifying compliance with specified requirements. [e.g., certificates needed for re-certifying, occupancy certificate, product certificates].Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.",CS1580,Equipment,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001469,CFIHOS-20000028,RA,materials engineering,CFIHOS-70000412,1455,material certificate,"A document certifying a material's chemical and physical properties and states a product made of metal's compliance with an international standards organization (ANSI, ASME, etc.).",RA1455,Equipment,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,materials test report (MTR);mill test report
CFIHOS-20001470,CFIHOS-20000028,RA,materials engineering,CFIHOS-70000413,1456,welder qualification certificate,A document certifying a welder is qualified to perform work according to certain weld procedure.,RA1456,Equipment,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001471,CFIHOS-20000043,BC,commissioning,CFIHOS-70000414,1457,completion certificate,A document certifying a scope or project activity has been successfully completed and tested for functionality.,BC1457,Tag,Raster Image,not applicable,,,not specified,not specified,not specified,IFU,IFU,not specified,,,,
CFIHOS-20001472,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000415,1458,calibration certificate,A document certifying that an instrument shall deliver an accurate output within a set operating range.,IN1458,Equipment,Raster Image,not applicable,,,not specified,not specified,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001473,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000416,2111,manufacturer datasheet,A datasheet which provides precise information about a equipment/model or package which shows how it meets the 'equipment specification' and the 'design datasheet requirements'; includes noise and other test results prepared by manufacturer/supplier.,EA2111,Model_Part,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20001474,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000416,2111,manufacturer datasheet,A datasheet which provides precise information about a equipment/model or package which shows how it meets the 'equipment specification' and the 'design datasheet requirements'; includes noise and other test results prepared by manufacturer/supplier.,IN2111,Model_Part,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20001475,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000416,2111,manufacturer datasheet,A datasheet which provides precise information about a equipment/model or package which shows how it meets the 'equipment specification' and the 'design datasheet requirements'; includes noise and other test results prepared by manufacturer/supplier.,LA2111,Model_Part,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20001476,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000416,2111,manufacturer datasheet,A datasheet which provides precise information about a equipment/model or package which shows how it meets the 'equipment specification' and the 'design datasheet requirements'; includes noise and other test results prepared by manufacturer/supplier.,MP2111,Model_Part,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
